"PROGRAMMA","ASSE","LINEA","AZIONE","TITOLO_PROGETTO","AMBITO_INTERVENTO","SETTORE","DATA_AVVIO","DURATA_PROGETTO","COSTO_COMPLESSIVO","CONTRIBUTO_TOTALE_RICHIESTO","CONTRIBUTO_TOTALE_AMMESSO","CONTRIBUTO_INVEST_RICHIESTO","CONTRIBUTO_INVEST_AMMESSO","CONTRIBUTO_INVEST_CONCESSO_PROVVISORIO","COFINANZIAMENTO_INVEST_BENEFICIARIO","CONTRIBUTO_SPESE_RICHIESTO","CONTRIBUTO_SPESE_AMMESSO","CONTRIBUTO_SPESE_CONCESSO_PROVVISORIO","BENEFICIARIO","CODICE_ATECO","PROVINCIA","LOCALIZZAZIONE_INVESTIMENTO","CODICE_ISTAT","SITO_WEB","DESCRIZIONE_PROGETTO","REVOCA"
"PO FESR 2007-2013","1","1.1","1.1.3","PRODUZIONE DI IMPIANTI PER L'ENERGIA SOLARE-TERMICA","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","28/06/2011","36","1.784.283,00","859.976,00","858.312,20","626.670,60","625.887,00","625.887,00","417.258,00","233.305,40","232.425,20","232.425,20","CMG SOLARI SRL","28.21.29 - AMBIENTE E RISPARMIO ENERGETICO","LE","MELISSANO","075044","WWW.CMGSOLARI.IT","Avvio della produzione di sistemi solari innovativi sulla base di un ritrovato sottoposto a brevetto",""
"PO FESR 2007-2013","1","1.1","1.1.3","SERVIZI BASATI SUL WEB SEMANTICO","RICERCA E SPERIMENTAZIONE","ICT","24/05/2011","36","436.891,00","198.560,00","197.959,60","126.834,60","126.234,60","126.234,60","84.156,40","71.725,40","71.725,00","71.725,00","INTEMPRA SRL","62.01 - ICT","BA","BARI","072006","WWW.INTEMPRA.COM","Avvio della fornitura di servizi ICT sulla base dell'approccio semantico",""
"PO FESR 2007-2013","1","1.1","1.1.3","PRODUZIONE DI PRODOTTI DA FORNO CON LIEVITO NATURALE","RICERCA E SPERIMENTAZIONE","AGROALIMENTARE","24/06/2011","36","401.939,50","191.917,40","176.917,30","122.550,90","107.550,90","107.550,90","71.700,60","69.366,50","69.366,40","69.366,40","POLARIS ALIMENTI SRL","10.07.00 - AGROALIMENTARE","BR","OSTUNI","074012","WWW.POLARISALIMENTI.IT","Avvio della produzione di prodotti da forno derivanti da specifico trasferimento di tecnologie",""
"PO FESR 2007-2013","1","1.1","1.1.3","SERVIZI PER LA SICUREZZA INFORMATICA","RICERCA E SPERIMENTAZIONE","ICT","","36","690.307,20","275.065,00","278.542,32","133.915,20","133.552,32","133.552,32","89.034,88","141.149,80","144.990,00","144.990,00","IT SECURITY SRL","62.01 - ICT","LE","LECCE","075035","","",""
"PO FESR 2007-2013","1","1.1","1.1.3","SERVIZI DI PROGETTAZIONE E INGEGNERIZZAZIONE DI IMPIANTI ENERGETICI","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","21/07/2011","36","549.030,00","280.043,00","218.616,00","111.063,00","98.826,00","98.826,00","65.884,00","168.980,00","119.790,00","119.790,00","RESOLVO SRLU","72.19.09 - AMBIENTE E RISPARMIO ENERGETICO","BA","MONOPOLI","072030","","Avvio di un'attività di servizi di progettazione per impianti di gassificazione e cogenerazione",""
"PO FESR 2007-2013","1","1.1","1.1.3","SERVIZI DI PROGETTAZIONE DI INGEGNERIA INTEGRATA BASATI SULLA REALTA' VIRTUALE","RICERCA E SPERIMENTAZIONE","ICT","16/03/2011","36","246.892,99","117.096,80","98.632,52","44.440,80","44.440,80","44.440,80","29.627,20","72.656,00","54.191,72","54.191,72","MTM PROJECT SRLU","71.12.20 - ICT","BA","MONOPOLI","072030","","Avvio dell'atttività di servizi di ingegneria basati su realtà virtuale e simulazione interattiva",""
"PO FESR 2007-2013","1","1.1","1.1.3","PROGETTAZIONE E PRODUZIONE DI PROTOTIPI E DISPOSITIVI PER LA MECCANICA INDUSTRIALE E L'AUTOMAZIONE","RICERCA E SPERIMENTAZIONE","SISTEMI AVANZATI DI MANIFATTURA","30/06/2011","36","1.776.935,05","714.235,00","712.541,03","329.295,40","326.481,03","326.481,03","217.654,02","384.939,60","386.060,00","386.060,00","ENGINIA SRL","28.22.09  - SISTEMI AVANZATI DI MANIFATTURA","BA","PUTIGNANO","072036","WWW.MTMPROJECT.COM","Avvio dell'attività di produzione di robot industriale",""
"PO FESR 2007-2013","1","1.1","1.1.3","Soluzioni per servizi di pagamento, ticketing, controllo accessi e advertising attraverso la tecnologia NFC","RICERCA E SPERIMENTAZIONE","ICT","23/12/2011","36","608.618,52","249.986,00","249.668,17","121.019,93","120.551,95","120.551,95","80.367,96","128.966,07","129.116,22","129.116,22","SMART ID SRL","62.02.00 - ICT","LE","SANNICOLA","075070","WWW.SMARTID.IT","Fornitura di servizi di pagamento, ticketing, controllo accessi e advertising attraverso la tecnologia NFC (Near Field Communication)",""
"PO FESR 2007-2013","1","1.1","1.1.3","PRODUZIONE DI IMPIANTI DI CONDIZIONAMENTO AVANZATI","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","","36","","0,00","888.061,14","","526.770,89","526.770,89","","","361.290,25","361.290,25","ENVICOM SRL","28.25.00 - AMBIENTE E RISPARMIO ENERGETICO","BA","MODUGNO","072027","WWW.COMPOSITIAVANZATI.IT","",""
"PO FESR 2007-2013","1","1.1","1.1.3","PRODUZIONE DI COMPONENTI PER L'INDUSTRIA AEROSPAZIALE","RICERCA E SPERIMENTAZIONE","MATERIALI AVANZATI","23/02/2012","36","915.369,00","453.321,40","427.671,40","333.071,40","307.421,40","307.421,40","204.947,60","120.250,00","120.250,00","120.250,00","COMPOSITI AVANZATI SRL","23.99.00 - MATERIALI AVANZATI","TA","AVETRANA","073001","WWW.COMPOSITIAVANZATI.IT","Progettazione e produzione di elementi, strutturali e non, per l'utilizzo nel settore aeronautico",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di turbine e turboalternatori per il minieolico","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","","36","1.606.264,00","700.910,40","700.910,40","424.376,40","424.376,40","424.376,40","282.917,60","276.534,00","276.534,00","276.534,00","FREE ENERGY INNOVATIVE SYSTEMS S.R.L.","28.11.20 - Settore Ambiente e risparmio energetico","BA","BARI","072006","","Avvio della produzione di turbine e turboalternatori per il minieolico","A.D.  N. 26/2015"
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di sistemi intelligenti basati su tecnologie ICT per lavanderie industriali","RICERCA E SPERIMENTAZIONE","ICT","","36","2.109.225,00","1.146.370,65","1.088.964,80","931.055,40","891.665,40","891.665,40","594.443,60","215.315,25","197.299,40","197.299,40","ITL","28.94.30 - Settore ICT","TA","TARANTO","073027","","Avvio della produzione di sistemi intelligenti basati su tecnologie ICT per lavanderie industriali","A.D.  N. 25/2015"
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio dell'attività di fornitura di servizi di ingegneria integrata per la prototipazione e per l'industrializzazione","RICERCA E SPERIMENTAZIONE","ICT","29/12/2012","36","813.177,53","419.259,40","321.214,52","227.322,40","152.782,52","152.782,52","101.855,01","191.937,00","168.432,00","168.432,00","SIMULO SRL","71.12.20 - Settore ICT","BA","BARI","072006","WWW.SIMULO.IT","Avvio dell'attività di fornitura di servizi di ingegneria integrata per la prototipazione e per l'industrializzazione",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di sistemi integrati per la contaturizzazione delle reti gas","RICERCA E SPERIMENTAZIONE","Sistemi avanzati di manifattura","31/05/2013","36","2.520.531,18","1.070.534,44","1.052.406,21","634.997,44","581.868,71","581.868,71","387.912,47","435.537,00","470.537,50","470.537,50","MECHATRONIC METERS S.R.L.","26.51.29 - Settore Sistemi avanzati di manifattura","LE","ALLISTE","075004","WWW.MMETERS.COM","Avvio della produzione di sistemi integrati per la contaturizzazione delle reti gas",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio dell'attività di servizi di ricerca e nel controllo dei processi industriali","RICERCA E SPERIMENTAZIONE","agroalimentare","03/05/2013","36","540.946,14","241.382,68","239.787,68","151.527,68","151.527,68","151.527,68","101.018,46","89.855,00","88.260,00","88.260,00","RE.CHEM.AN. DI CAGNAZZO VINCENZO & C. S.A.S.","71.20.21 - Settore Sistema agroalimentare","BR","S. PIETRO VERNOTICO","074016","","Avvio dell'attività di servizi di ricerca e nel controllo dei processi industriali",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione e installazione di infissi in alluminio, legno-alluminio, PVC sulla base di un ritrovato brevettato","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","03/10/2013","36","926.426,00","392.133,60","375.075,60","195.483,60","180.015,60","180.015,60","120.010,40","196.650,00","195.060,00","195.060,00","G&G SRL","25.12.10 - Settore Ambiente e risparmio energetico","LE","CAMPI S.","075011","","Avvio della produzione e installazione di infissi in alluminio, legno-alluminio, PVC sulla base di un ritrovato brevettato",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di compost di qualità","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","23/12/2013","36","669.513,23","287.026,95","297.387,13","228.391,80","183.019,93","183.019,93","122.013,29","58.635,15","114.367,20","114.367,20","COMPOST NATURA SRL","38.21.01 - Settore Ambiente e risparmio energetico","LE","ARNESANO","075007","WWW.COMPOSTNATURA.COM","Avvio della produzione di compost di qualità",""
